"FileName","RelativePath","Extension","SizeBytes","IsRuntimeFile","IsEntryPointCandidate","UsesArgumentParsing","UsesConfiguration","UsesLogging","UsesExplicitExit","UsesExceptions","UsesTimestamps","UsesGuidOrUuid","UsesRandomness","UsesFilesystemEnumeration","UsesCultureSensitiveOperations","SHA256"
"__init__.py","runtime\src\morning_star\registries\__init__.py",".py","343","True","False","False","False","False","False","False","False","False","False","False","False","58F756CCDD6CD3C3DFD2892566F1D1BD051BD419AAEBE567CF1988DF4E4469AD"
"memory.py","runtime\src\morning_star\registries\memory.py",".py","1385","True","False","False","False","False","False","True","False","False","False","False","False","4A2B6D41A2AD0336EE98615A67E35BCCBF04426E8F943C71972954D57E822C33"
"persistent.py","runtime\src\morning_star\registries\persistent.py",".py","3950","True","False","False","True","False","False","True","True","False","False","True","False","7D827D7652E57516B98882FA7171AE9A5B7B69FF1A10F85E929FEB3066166E37"
"persistent_trace.py","runtime\src\morning_star\registries\persistent_trace.py",".py","4618","True","False","False","True","False","False","True","True","False","False","False","False","5D36A9E293CEEFC69B2CCB86DED1DE2A6798AC49B6722B57D8DD1E53249EF3CF"
"repository.py","runtime\src\morning_star\registries\repository.py",".py","3092","True","False","False","False","False","False","True","False","False","False","False","False","745ADCDF429FD11687521819057E4EF882C1CC78677945561A7822528914B85A"
"trace_ledger.py","runtime\src\morning_star\registries\trace_ledger.py",".py","977","True","False","False","True","False","False","False","False","False","False","False","False","4800E2F545CFCA7A35683A5D1ECDC6A71D2A47723901F3606EC2DECA48B4D83D"
"transaction.py","runtime\src\morning_star\registries\transaction.py",".py","4059","True","False","False","False","False","False","True","False","True","False","False","False","44A403D1FCFD4D8B015BF75BEAC50DFDEF63D2EF495DDFC22D03F913DB15DAA2"
"__init__.py","runtime\src\morning_star\storage\__init__.py",".py","83","True","False","False","False","False","False","False","False","False","False","False","False","4486EB8F97BE3D188587D364A652233F2AE46EFDFA99AC061D0840F2537DAA5B"
"atomic.py","runtime\src\morning_star\storage\atomic.py",".py","1721","True","False","False","False","False","False","True","False","False","False","False","False","E15C76088143E0191C37936E81FB04940C97E14D57A9D4C2C65CB1ABFFFF710A"
"test_entry_conformance.py","runtime\tests\scenarios\test_entry_conformance.py",".py","5728","True","False","False","False","False","False","False","False","True","False","False","False","B79552FFB0FBF7E929C80D2FF9CD0162434368FF72E7A92830551438AC0EC827"
"test_atomic_storage.py","runtime\tests\test_atomic_storage.py",".py","1508","True","False","False","False","False","False","False","False","False","False","False","False","AC4DA2837CC79E1D89751F0A55191F9F09A366E5DEC42D4F73DB57B737BA2D57"
"test_cli.py","runtime\tests\test_cli.py",".py","3671","True","False","False","True","False","False","False","False","False","False","False","False","A6DFA8A493E4B5C3C7131B45C7DFC6C3AFEB7C8EC472C31A561A03AF4D709205"
"test_configuration.py","runtime\tests\test_configuration.py",".py","2714","True","False","False","True","False","False","False","False","False","False","False","False","B749F027893D2AEA63E1304548D4925B493811ECEE572F927814593905242410"
"test_coverage_matrix.py","runtime\tests\test_coverage_matrix.py",".py","887","True","False","False","False","False","False","False","False","False","False","False","False","59B7150B22C7895FA2E854A8BC1907AC0D41F467F6B351CE1EFD2B920935D9A7"
"test_dependencies.py","runtime\tests\test_dependencies.py",".py","2634","True","False","False","False","False","False","False","False","False","False","False","False","FAC42E31911A112BD58970005C8B02F6A711145A896AE8DE0347DB20D9A948CE"
"test_envelopes.py","runtime\tests\test_envelopes.py",".py","2411","True","False","False","False","False","False","False","False","False","False","False","False","FFD73DBDF0AE89BEA7A7BFE363FAA9AC9F954DC69346FE141AB96B7D9DEC42B8"
"test_failures.py","runtime\tests\test_failures.py",".py","1485","True","False","False","False","False","False","False","False","False","False","False","False","427B7C095F64A237D4958B3898CF466AD55EAEEEDE0CB2BC2057014CE8F0D071"
"test_initiation_engine.py","runtime\tests\test_initiation_engine.py",".py","4891","True","False","False","False","False","False","False","False","True","False","False","False","AB3CED0AC76FD742C581886E981CDC4A5F10F9E10A70B3D485AB72E554BF50F1"
"test_interpretation_engine.py","runtime\tests\test_interpretation_engine.py",".py","3054","True","False","False","False","False","False","False","False","True","False","False","False","8202B034F31EE8F6EF15301F52FA623AB108858F3A2E3078694246209B0C558A"
"test_manifest_registry.py","runtime\tests\test_manifest_registry.py",".py","3346","True","False","False","False","False","False","False","False","False","False","False","False","55A3EE688CEF8BCFD3A46794B951F0ADB2167732D2A5BE1F158E5135F4DE1972"
"test_models.py","runtime\tests\test_models.py",".py","3698","True","False","False","False","False","False","False","True","True","False","False","False","0B1FAB79EA25310DCE4A8FF265F1578FA388D073F52AAE138265A4DBB3D8F7F1"
